"strat_name","r_year","sc_gy_bbs"
"US-CT-30",2001,0.0131412237463912
"US-CT-30",2002,0.967810691591762
"US-CT-30",2003,0.326078258948534
"US-CT-30",2004,0.860746156172385
"US-CT-30",2005,0.405678031931545
"US-CT-30",2006,0.95253448799307
"US-CT-30",2007,1.21805888505114
"US-CT-30",2008,1.55727370262206
"US-CT-30",2009,0.658185841479879
"US-CT-30",2010,1.12327295787341
"US-CT-30",2011,0.226455517950076
"US-CT-30",2012,0.955135005597216
"US-CT-30",2013,1.48462048456191
"US-CT-30",2014,1.39794681240879
"US-CT-30",2015,0.478327705724158
"US-CT-30",2016,0.596444292889301
"US-CT-30",2017,0.767476747485487
"US-CT-30",2018,0.866576042654728
"US-CT-30",2019,1.90578401207071
"US-DE-30",1970,-1.27543880898856
"US-DE-30",1971,-1.4132886617126
"US-DE-30",1972,-1.00062382458967
"US-DE-30",1973,-0.608515718805181
"US-DE-30",1974,-0.578637722615592
"US-DE-30",1975,-0.493431663545735
"US-DE-30",1976,-0.887425657851558
"US-DE-30",1977,-1.62674174035334
"US-DE-30",1978,-1.47816923786123
"US-DE-30",1979,-1.67838716458138
"US-DE-30",1980,-1.54998974720581
"US-DE-30",1981,-1.55570854249602
"US-DE-30",1982,-1.37029843137981
"US-DE-30",1983,-1.3673849544781
"US-DE-30",1984,-1.234974765006
"US-DE-30",1985,-1.15009651329879
"US-DE-30",1986,-0.999772212345307
"US-DE-30",1987,-0.785418105569622
"US-DE-30",1988,-0.381696779694274
"US-DE-30",1989,-0.689383495238609
"US-DE-30",1990,0.285994793090731
"US-DE-30",1991,0.390778947216327
"US-DE-30",1992,0.871602292169277
"US-DE-30",1993,0.930036800252759
"US-DE-30",1994,0.182065961948278
"US-DE-30",1995,0.287098704600118
"US-DE-30",1996,-1.20994938067212
"US-DE-30",1997,-0.742025627725987
"US-DE-30",1998,-0.361675455968438
"US-DE-30",1999,0.190557161617797
"US-DE-30",2000,-0.101982533041254
"US-DE-30",2001,0.612911309570632
"US-DE-30",2002,0.866982144951621
"US-DE-30",2003,0.0273622544631797
"US-DE-30",2004,0.00857860149673748
"US-DE-30",2005,0.112316619874285
"US-DE-30",2006,0.399212040314549
"US-DE-30",2007,2.01048310664631
"US-DE-30",2008,1.38107381236957
"US-DE-30",2009,1.15890908994802
"US-DE-30",2010,-0.395438210158676
